$170					0.00591716
(798					0.00591716
116					0.00591716
16					0.00591716
1993.					0.00591716
2					0.00591716
31.41					0.00591716
Although					0.00591716
America					0.00591716
America,					0.00591716
Bay					0.00591716
Campeche,					0.00591716
Caribbean					0.00591716
Category					0.00591716
Central					0.01183432
Coast					0.00591716
Following					0.00591716
Gert					0.01183432
Gert's					0.00591716
Gulf					0.00591716
Honduras,					0.00591716
Huasteca					0.00591716
Hurricane					0.00591716
It					0.00591716
Mexico					0.00591716
Mexico,					0.00591716
Mexico.					0.00591716
Nicaragua,					0.00591716
Ocean.					0.00591716
Once					0.00591716
Pacific					0.00591716
Peninsula.					0.00591716
Roads					0.00591716
Sea					0.00591716
September					0.00591716
The					0.01183432
Yucatán					0.00591716
a					0.01775148
across					0.01183432
affected					0.00591716
and					0.04733728
attained					0.00591716
became					0.01183432
before					0.00591716
briefly					0.00591716
broad					0.00591716
caused					0.01183432
circulation					0.00591716
countries					0.00591716
crops.					0.00591716
crossing					0.00591716
cyclone					0.01183432
damage					0.00591716
depression					0.00591716
disaster					0.00591716
disrupted,					0.00591716
dissipated					0.00591716
due					0.00591716
effects					0.00591716
evacuate.					0.00591716
eventually					0.00591716
expansive					0.00591716
extensive					0.00591716
extreme					0.00591716
flooding					0.01183432
forcing					0.00591716
grew					0.00591716
heavy					0.00591716
highest					0.00591716
homeless.					0.00591716
hurricane					0.00591716
in					0.02366864
inches					0.00591716
into					0.00591716
killed					0.00591716
landfall					0.01183432
large					0.00591716
left					0.00591716
made					0.00591716
million					0.00591716
missing,					0.00591716
mm)					0.00591716
mountains.					0.00591716
occurred					0.00591716
of					0.03550296
on					0.00591716
originated					0.00591716
over					0.0295858
overflow					0.00591716
parts					0.00591716
people,					0.00591716
produced					0.00591716
property					0.00591716
quickly					0.00591716
rain					0.00591716
rainfall					0.00591716
region					0.00591716
rivers,					0.00591716
rugged					0.00591716
several					0.00591716
severely					0.00591716
southwestern					0.00591716
storm					0.00591716
strength					0.00591716
submerged,					0.00591716
tens					0.00591716
terrain					0.00591716
that					0.00591716
the					0.07100592
there					0.00591716
thousands					0.01183432
throughout					0.00591716
to					0.01775148
tropical					0.01183432
upon					0.00591716
warm					0.00591716
was					0.00591716
water					0.00591716
weakened					0.00591716
were					0.01183432
wind					0.00591716
winds					0.00591716
worst					0.00591716
