$170										0.0013654984
(798										0.0013654984
116										0.0013654984
16										0.0013654984
1993.										0.0013654984
2										0.0013654984
31.41										0.0013654984
Although										0.0013654984
America										0.0013654984
America,										0.0013654984
Bay										0.0013654984
Campeche,										0.0013654984
Caribbean										0.0013654984
Category										0.0013654984
Central										0.00295858
Coast										0.0013654984
Following										0.0013654984
Gert										0.00295858
Gert's										0.0013654984
Gulf										0.0013654984
Honduras,										0.0013654984
Huasteca										0.0013654984
Hurricane										0.0013654984
It										0.0013654984
Mexico										0.0013654984
Mexico,										0.0013654984
Mexico.										0.0013654984
Nicaragua,										0.0013654984
Ocean.										0.0013654984
Once										0.0013654984
Pacific										0.0013654984
Peninsula.										0.0013654984
Roads										0.0013654984
Sea										0.0013654984
September										0.0013654984
The										0.00295858
Yucatán										0.0013654984
a										0.01183432
across										0.00295858
affected										0.0013654984
and										0.0
attained										0.0013654984
became										0.00295858
before										0.0013654984
briefly										0.0013654984
broad										0.0013654984
caused										0.00295858
circulation										0.0013654984
countries										0.0013654984
crops.										0.0013654984
crossing										0.0013654984
cyclone										0.00295858
damage										0.0013654984
depression										0.0013654984
disaster										0.0013654984
disrupted,										0.0013654984
dissipated										0.0013654984
due										0.0013654984
effects										0.0013654984
evacuate.										0.0013654984
eventually										0.0013654984
expansive										0.0013654984
extensive										0.0013654984
extreme										0.0013654984
flooding										0.00295858
forcing										0.0013654984
grew										0.0013654984
heavy										0.0013654984
highest										0.0013654984
homeless.										0.0013654984
hurricane										0.0013654984
in										0.0295858
inches										0.0013654984
into										0.0013654984
killed										0.0013654984
landfall										0.00295858
large										0.0013654984
left										0.0013654984
made										0.0013654984
million										0.0013654984
missing,										0.0013654984
mm)										0.0013654984
mountains.										0.0013654984
occurred										0.0013654984
of										0.0
on										0.0013654984
originated										0.0013654984
over										0.03550296
overflow										0.0013654984
parts										0.0013654984
people,										0.0013654984
produced										0.0013654984
property										0.0013654984
quickly										0.0013654984
rain										0.0013654984
rainfall										0.0013654984
region										0.0013654984
rivers,										0.0013654984
rugged										0.0013654984
several										0.0013654984
severely										0.0013654984
southwestern										0.0013654984
storm										0.0013654984
strength										0.0013654984
submerged,										0.0013654984
tens										0.0013654984
terrain										0.0013654984
that										0.0013654984
the										0.0
there										0.0013654984
thousands										0.00295858
throughout										0.0013654984
to										0.01183432
tropical										0.00295858
upon										0.0013654984
warm										0.0013654984
was										0.0013654984
water										0.0013654984
weakened										0.0013654984
were										0.00295858
wind										0.0013654984
winds										0.0013654984
worst										0.0013654984
